SJSJ,CLDBS,ZXYGZ,ZXYGF,ZXYGP,ZXYGG,ZXYGJ,ZXWGZ,FXYGZ,FXYGF,FXYGP,FXYGG,FXYGJ,FXWGZ
2020-01-01,11538314000.0,19591.088,5199.6777,7674.3735,6717.032,0.0,2933.1929,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-02,11538314000.0,19593.215,5200.39,7675.6943,6717.132,0.0,2933.5574,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-03,11538314000.0,19595.191,5201.036,7676.948,6717.2046,0.0,2933.8809,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-04,11538314000.0,19597.205,5201.755,7678.0786,6717.37,0.0,2934.253,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-05,11538314000.0,19599.309,5202.5957,7679.1836,6717.5303,0.0,2934.7747,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-06,11538314000.0,19601.23,5203.372,7680.1743,6717.683,0.0,2935.2305,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-07,11538314000.0,19602.953,5203.951,7681.163,6717.84,0.0,2935.5005,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-08,11538314000.0,19604.873,5204.6064,7682.275,6717.991,0.0,2935.809,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-09,11538314000.0,19607.037,5205.1714,7683.718,6718.1436,0.0,2936.2717,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-10,11538314000.0,19608.234,5205.451,7684.6025,6718.1797,0.0,2936.684,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-11,11538314000.0,19608.45,5205.5234,7684.74,6718.1885,0.0,2936.73,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-12,11538314000.0,19608.482,5205.751,7682.788,6719.944,0.0,2934.8687,0.0,0.0,0.0,0.0,0.0,0.2175
2020-01-13,11538314000.0,19608.656,5207.3,7669.13,6732.22,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-14,11538314000.0,19608.662,5207.3,7669.13,6732.22,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-15,11538314000.0,19608.67,5207.3,7669.13,6732.2285,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-16,11538314000.0,19608.68,5207.3,7669.14,6732.23,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-17,11538314000.0,19608.686,5207.303,7669.14,6732.23,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-18,11538314000.0,19608.691,5207.31,7669.14,6732.23,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-19,11538314000.0,19608.7,5207.31,7669.1455,6732.2397,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-20,11538314000.0,19608.707,5207.31,7669.15,6732.24,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-21,11538314000.0,19608.715,5207.31,7669.15,6732.24,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-22,11538314000.0,19608.72,5207.31,7669.1523,6732.24,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-23,11538314000.0,19608.729,5207.313,7669.16,6732.249,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-24,11538314000.0,19608.734,5207.32,7669.16,6732.25,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-25,11538314000.0,19608.74,5207.32,7669.16,6732.25,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-26,11538314000.0,19608.748,5207.32,7669.1646,6732.25,0.0,2921.84,0.0,0.0,0.0,0.0,0.0,0.13
2020-01-27,11538314000.0,19608.643,5206.433,7676.9746,6725.2334,0.0,2929.29,0.0,0.0,0.0,0.0,0.0,0.18
2020-01-28,11538314000.0,19608.54,5205.55,7684.78,6718.2183,0.0,2936.7476,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-29,11538314000.0,19608.545,5205.55,7684.78,6718.22,0.0,2936.75,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-30,11538314000.0,19608.55,5205.55,7684.78,6718.22,0.0,2936.75,0.0,0.0,0.0,0.0,0.0,0.23
2020-01-31,11538314000.0,19608.557,5205.55,7684.784,6718.22,0.0,2936.75,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-01,11538314000.0,19608.79,5207.33,7669.18,6732.27,0.0,2921.85,0.0,0.0,0.0,0.0,0.0,0.13
2020-02-02,11538314000.0,19608.795,5207.33,7669.185,6732.27,0.0,2921.85,0.0,0.0,0.0,0.0,0.0,0.13
2020-02-03,11538314000.0,19608.8,5207.33,7669.19,6732.27,0.0,2921.85,0.0,0.0,0.0,0.0,0.0,0.13
2020-02-04,11538314000.0,19608.81,5207.33,7669.19,6732.2773,0.0,2921.85,0.0,0.0,0.0,0.0,0.0,0.13
2020-02-05,11538314000.0,19608.648,5206.076,7680.246,6722.3276,0.0,2932.4043,0.0,0.0,0.0,0.0,0.0,0.20083334
2020-02-06,11538314000.0,19608.59,5205.56,7684.8,6718.23,0.0,2936.7537,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-07,11538314000.0,19608.592,5205.56,7684.8,6718.23,0.0,2936.76,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-08,11538314000.0,19608.6,5205.56,7684.8,6718.2383,0.0,2936.76,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-09,11538314000.0,19608.604,5205.56,7684.802,6718.24,0.0,2936.76,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-10,11538314000.0,19608.61,5205.56,7684.81,6718.24,0.0,2936.76,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-11,11538314000.0,19608.615,5205.5635,7684.81,6718.24,0.0,2936.76,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-12,11538314000.0,19608.62,5205.57,7684.81,6718.24,0.0,2936.76,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-13,11538314000.0,19608.627,5205.57,7684.81,6718.247,0.0,2936.76,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-14,11538314000.0,19608.63,5205.57,7684.8154,6718.25,0.0,2936.76,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-15,11538314000.0,19608.639,5205.57,7684.82,6718.25,0.0,2936.76,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-16,11538314000.0,19608.64,5205.57,7684.82,6718.25,0.0,2936.7664,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-17,11538314000.0,19608.65,5205.57,7684.82,6718.25,0.0,2936.77,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-18,11538314000.0,19608.65,5205.5713,7684.822,6718.25,0.0,2936.77,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-19,11538314000.0,19608.66,5205.58,7684.83,6718.259,0.0,2936.77,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-20,11538314000.0,19608.662,5205.58,7684.83,6718.26,0.0,2936.77,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-21,11538314000.0,19608.67,5205.58,7684.83,6718.26,0.0,2936.77,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-22,11538314000.0,19608.674,5205.58,7684.83,6718.26,0.0,2936.77,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-23,11538314000.0,19609.854,5205.8076,7685.781,6718.26,0.0,2936.9546,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-24,11538314000.0,19612.654,5206.5986,7687.6445,6718.4053,0.0,2937.4526,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-25,11538314000.0,19618.6,5208.393,7691.6304,6718.5786,0.0,2939.036,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-26,11538314000.0,19630.145,5212.572,7698.7207,6718.855,0.0,2942.303,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-27,11538314000.0,19642.312,5216.838,7706.3965,6719.0747,0.0,2945.789,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-28,11538314000.0,19654.643,5221.1626,7714.1533,6719.3296,0.0,2949.4126,0.0,0.0,0.0,0.0,0.0,0.23
2020-02-29,11538314000.0,19666.818,5225.4814,7721.828,6719.5166,0.0,2952.98,0.0,0.0,0.0,0.0,0.0,0.23
2020-03-01,11538314000.0,19678.93,5231.475,7713.715,6733.7314,0.0,2941.461,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-02,11538314000.0,19692.527,5236.8994,7721.7246,6733.8906,0.0,2944.6687,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-03,11538314000.0,19710.943,5243.858,7732.745,6734.333,0.0,2947.225,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-04,11538314000.0,19729.41,5249.3813,7745.3516,6734.668,0.0,2949.7883,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-05,11538314000.0,19747.992,5256.133,7756.9556,6734.9014,0.0,2952.022,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-06,11538314000.0,19759.893,5258.9624,7774.317,6726.606,0.0,2964.4333,0.0,0.0,0.0,0.0,0.0,0.19086957
2020-03-07,11538314000.0,19774.672,5263.583,7789.751,6721.336,0.0,2973.2488,0.0,0.0,0.0,0.0,0.0,0.23
2020-03-08,11538314000.0,19795.295,5270.5635,7802.9478,6721.7783,0.0,2975.323,0.0,0.0,0.0,0.0,0.0,0.23
2020-03-09,11538314000.0,19810.66,5275.473,7813.0747,6722.114,0.0,2977.8914,0.0,0.0,0.0,0.0,0.0,0.23
2020-03-10,11538314000.0,19824.037,5279.46,7822.2153,6722.3667,0.0,2980.8774,0.0,0.0,0.0,0.0,0.0,0.23
2020-03-11,11538314000.0,19836.066,5283.0005,7830.5664,6722.5044,0.0,2983.616,0.0,0.0,0.0,0.0,0.0,0.23
2020-03-12,11538314000.0,19845.654,5286.2075,7836.836,6722.606,0.0,2986.364,0.0,0.0,0.0,0.0,0.0,0.23
2020-03-13,11538314000.0,19856.525,5291.6074,7828.0513,6736.862,0.0,2974.0945,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-14,11538314000.0,19863.76,5294.211,7832.504,6737.031,0.0,2975.7654,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-15,11538314000.0,19868.084,5295.967,7834.9478,6737.157,0.0,2976.5142,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-16,11538314000.0,19877.4,5299.8555,7840.257,6737.281,0.0,2978.872,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-17,11538314000.0,19885.475,5302.6753,7845.3496,6737.44,0.0,2980.86,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-18,11538314000.0,19890.309,5304.2607,7848.4126,6737.63,0.0,2981.7288,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-19,11538314000.0,19893.4,5305.3086,7850.3003,6737.7783,0.0,2982.1345,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-20,11538314000.0,19897.629,5306.709,7852.7915,6738.118,0.0,2982.6172,0.0,0.0,0.0,0.0,0.0,0.13
2020-03-21,11538314000.0,19900.84,5306.178,7869.2227,6725.4355,0.0,2997.0034,0.0,0.0,0.0,0.0,0.0,0.22166666
2020-03-22,11538314000.0,19908.047,5308.8164,7871.28,6727.9478,0.0,2996.2678,0.0,0.0,0.0,0.0,0.0,0.205
