SJSJ,CLDBS,ZXYGZ,ZXYGF,ZXYGP,ZXYGG,ZXYGJ,ZXWGZ,FXYGZ,FXYGF,FXYGP,FXYGG,FXYGJ,FXWGZ
2020/2/19,15170309000,1908.3561,691.7229,1056.0177,160.60625,0,83.54885,0,0,0,0,0,0.005
2020/2/20,15170309000,1911.6444,692.9705,1057.973,160.69469,0,83.127396,0,0,0,0,0,0.003541667
2020/2/21,15170309000,1914.7979,694.02686,1059.9956,160.76697,0,81.885,0,0,0,0,0,0
2020/2/22,15170309000,1917.825,695.1276,1061.8008,160.88625,0,82.00646,0,0,0,0,0,0
2020/2/23,15170309000,1920.9379,696.25354,1063.6729,160.99771,0,82.1225,0,0,0,0,0,0
2020/2/24,15170309000,1924.1096,697.4157,1065.579,161.1076,0,82.24615,0,0,0,0,0,0
2020/2/25,15170309000,1927.1957,698.5264,1067.4445,161.2175,0,82.36052,0,0,0,0,0,0
2020/2/26,15170309000,1930.3048,699.6944,1069.2537,161.34479,0,82.9574,0,0,0,0,0,0.00125
2020/2/27,15170309000,1933.4993,701.0379,1070.9386,161.5149,0,84.54094,0,0,0,0,0,0.005
2020/2/28,15170309000,1936.9974,702.25977,1073.1056,161.62532,0,84.67812,0,0,0,0,0,0.005
2020/2/29,15170309000,1940.2046,703.4078,1075.0464,161.74168,0,84.82084,0,0,0,0,0,0.005052631
2020/3/1,15170309000,1943.42,704.2897,1077.3248,161.79521,0,82.94302,0,0,0,0,0,0
2020/3/2,15170309000,1946.444,705.36487,1079.1781,161.89386,0,83.072395,0,0,0,0,0,0
2020/3/3,15170309000,1949.2854,706.4213,1080.8706,161.98438,0,83.19771,0,0,0,0,0,0
2020/3/4,15170309000,1951.9978,707.39545,1082.5188,162.07478,0,83.33552,0,0,0,0,0,0
2020/3/5,15170309000,1954.7462,708.36896,1084.206,162.15718,0,83.4801,0,0,0,0,0,0
2020/3/6,15170309000,1957.6105,709.405,1085.9489,162.24532,0,83.62906,0,0,0,0,0,0
2020/3/7,15170309000,1960.5509,710.5289,1087.678,162.33427,0,83.774376,0,0,0,0,0,0
2020/3/8,15170309000,1963.5424,711.79034,1089.276,162.46959,0,84.63917,0,0,0,0,0,0.001875
2020/3/9,15170309000,1966.5264,713.0576,1090.8314,162.6301,0,85.99604,0,0,0,0,0,0.005
2020/3/10,15170309000,1969.413,714.08813,1092.5936,162.72333,0,86.12896,0,0,0,0,0,0.005
2020/3/11,15170309000,1972.3956,715.0596,1094.535,162.79358,0,85.13913,0,0,0,0,0,0.002173913
2020/3/12,15170309000,1975.5162,716.13696,1096.4939,162.87697,0,84.405624,0,0,0,0,0,0
2020/3/13,15170309000,1978.6862,717.3025,1098.3842,162.98843,0,84.52521,0,0,0,0,0,0
2020/3/14,15170309000,1981.9036,718.4419,1100.3534,163.09917,0,84.66948,0,0,0,0,0,0
2020/3/15,15170309000,1984.9739,719.598,1102.1543,163.20906,0,84.821144,0,0,0,0,0,0
2020/3/16,15170309000,1987.921,720.8552,1103.6931,163.36917,0,86.25875,0,0,0,0,0,0.003333333
2020/3/17,15170309000,1990.9594,722.03625,1105.3986,163.51791,0,87.03906,0,0,0,0,0,0.005
